,,,,,,,,,,,,,,,,,,,,,,
,,UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,...,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered
,0,CHE-195.596.773,Herstellung von Getranken,Adrianos,https://www.adrianos.ch,9.0,1000000.0,2016 Dezember,5.0,1321.0,Y,...,300.0,300.0,1.160,818.0,95.0,22350.0,100000.0,Switzerland,Bern,2008.0
,1,CHE-109.442.971,Herstellung von Getranken,Badilatti,http://www.cafe-badilatti.ch,19.0,10000000.0,2016 Juli,39.0,263.0,Y,...,8732.0,1176.0,1.080,1710.0,80.0,25050.0,630000.0,Switzerland,Zuoz,2002.0
,2,CHE-350.334.433,Herstellung/Verarbeitung von Lebensmitteln,Bertschi,http://www.bertschi-cafe.ch,3.0,10000000.0,2016 Juli,39.0,828.0,Y,...,300.0,300.0,0.210,614.0,38.0,1425.0,200000.0,Switzerland,Birsfelden,2013.0
,3,CHE-362.413.335,Herstellung von Getranken,Black and Blaze,http://www.blackandblaze.com,17.0,10000000.0,NaN,0.0,835.0,Y,...,265.0,300.0,0.455,899.0,38.0,855.0,100000.0,Switzerland,Ebmatingen,2016.0
,4,CHE-362.510.257,Herstellung von Getranken,Blaser cafee,http://www.blasercafe.ch,99.0,10000000.0,2016 August,34.0,6824.0,Y,...,491.0,491.0,0.470,1075.0,155.0,13935.0,500000.0,Switzerland,Bern,2012.0
,5,NaN,NaN,Bohnus,http://www.bohnus.ch,17.0,10000000.0,NaN,0.0,1418.0,NaN,...,300.0,300.0,0.455,660.0,6.0,210.0,200000.0,Switzerland,Bunzen,NaN
,6,NaN,NaN,Cafedumonde,http://www.caffepippo.ch,17.0,10000000.0,NaN,29.0,1418.0,NaN,...,300.0,300.0,0.455,735.0,2.0,30.0,200000.0,Switzerland,Chur,NaN
,7,CHE-107.856.327,Delica,Cafee pippo,https://ch.cafe-royal.com,17.0,10000000.0,NaN,20.0,1418.0,N,...,130977.0,31637.0,2.160,24642.0,130.0,57300.0,200000.0,Switzerland,Birsfelden,1955.0
,8,NaN,NaN,Cafee Royal,http://www.cafedumonde.ch,17.0,10000000.0,NaN,0.0,146.0,Y,...,1058.0,529.0,0.600,1231.0,2.0,3547.5,200000.0,Switzerland,Courchapoix,NaN
,9,CHE-109.863.321,Tee/Kaffee/Kakao,Caferos,http://caferos.com,9.0,10000000.0,2016 Juli,0.0,465.0,Y,...,358.0,314.0,0.455,971.0,34.0,3547.5,350000.0,Switzerland,Feusisberg,2006.0
