UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered
CHE-195.596.773,Herstellung von Getranken,Adrianos,https://www.adrianos.ch,9,1000000,2016 Dezember,5,1321,Y,44128,300,300,1.16,818,95,22350,100000,Switzerland,Bern,2008
CHE-109.442.971,Herstellung von Getranken,Badilatti,http://www.cafe-badilatti.ch,19,10000000,2016 Juli,39,263,Y,17300,8732,1176,1.08,1710,80,25050,630000,Switzerland,Zuoz,2002
CHE-350.334.433,Herstellung/Verarbeitung von Lebensmitteln,Bertschi,http://www.bertschi-cafe.ch,3,10000000,2016 Juli,39,828,Y,40039,300,300,0.21,614,38,1425,,Switzerland,Birsfelden,2013
CHE-362.413.335,Herstellung von Getranken,Black and Blaze,http://www.blackandblaze.com,,,,0,835,Y,87157,265,300,,899,38,855,100000,Switzerland,Ebmatingen,2016
CHE-362.510.257,Herstellung von Getranken,Blaser cafee,http://www.blasercafe.ch,99,10000000,2016 August,34,6824,Y,25242,491,491,0.47,1075,155,13935,500000,Switzerland,Bern,2012
,,Bohnus,http://www.bohnus.ch,,,,0,,,418444,300,300,,660,6,210,,Switzerland,Bunzen,
,,Cafedumonde,http://www.caffepippo.ch,,,,29,,,486713,300,300,,735,2,30,,Switzerland,Chur,
CHE-107.856.327,Delica,Cafee pippo,https://ch.cafe-royal.com,,,,20,,N,5993,130977,31637,2.16,24642,130,57300,,Switzerland,Birsfelden,1955
,,Cafee Royal,http://www.cafedumonde.ch,,,,0,146,Y,302886,1058,529,0.6,1231,2,,,Switzerland,Courchapoix,
CHE-109.863.321,Tee/Kaffee/Kakao,Caferos,http://caferos.com,9,10000000,2016 Juli,0,465,Y,,,,,,,,350000,Switzerland,Feusisberg,2006
CHE-338.550.279,Herstellung von Getranken,Cafethek,http://www.cafethek.ch,3,1000000,2016 Juli,0,,N,380395,300,300,,675,8,540,,Switzerland,Wabern,2011
,,Capra cafee ,,,,,,,,,,,,,,,,Switzerland,,
,,Carlito,http://www.caffecarlito.ch,,,,27,,,444124,300,300,,750,17,30,,Switzerland,Zandone,1965
CHE-110.588.624,Handel mit Produkten fur Haus/Wohnen,Carluccio,https://www.caffecarluccio.ch,3,10000000,2016 Juli,49,,N,260046,300,300,0.6,765,6,165,20000,Switzerland,Gumligen,2004
,,Caruso,https://kaffee.migros.ch/de/produkte/marken/caruso,,,,40,,,,,,,,,,,Switzerland,Chur,
CHE-115.200.301,Tee/Kaffee/Kakao,Casablanca,http://kaffeecasablanca.ch,9,,2016 August,18,,,449956,300,300,,713,8,195,100000,Switzerland,Allschwil,2009
,,Cervino,http://www.caffe-cervino.ch,,,,4,,,139874,300,300,1.41,578,2,465,,Switzerland,Naters,1986
CHE-112.632.710,Herstellung von Getranken,Chicco d oro,http://chiccodoro.com/lang-en/,199,20000000,2016 Juli,20,3766,Y,26925,28350,1942,0.44,2286,359,31200,900000,Switzerland,Balerna,2005
CHE-105.847.300,Detailhandel/Grosshandel/Vertrieb,Claro,https://www.claro.ch,49,20000000,2016 August,36,127876,Y,31055,8467,1002,0.95,1361,237,105750,4710612,Switzerland,Orpund,1989
CHE-109.029.938,Verb_nde/Vereine,Coop at home,https://www.coopathome.ch,80000,500000000,2016 ovember,41,236198,Y,629,589397,115705,0.14,87819,512,121500,,Switzerland,Basel,1969
CHE-107.856.327,Delica,Cremesso,http://www.cremesso.com,,,,5,8504,Y,544816,300,300,,766,,,,Switzerland,Birsfelden,2004
,,Cuendet ,,,,,16,,,,,,,,,,,Switzerland,,
CHE-105.737.893,Detailhandel/Grosshandel/Vertrieb,Dallmayr,http://www.dallmayr.ch,499,20000000,2016 August,27,9062,Y,22271,10319,1056,0.12,1537,34,46800,400000,Switzerland,Barbengo,1968
CHE-107.856.327,Herstellung von Getranken,Delica AG,http://www.delica.ch,1391,300000000,2016 ovember,20,175,Y,164697,1588,277,0.13,1049,76,26850,1000000,Switzerland,Birsfelden,1964
CHE-107.856.327,Delica,Delizio,https://www.delizio.ch/de,,,,48,7344,Y,11457,10584,2986,0.46,3010,48,24000,,Switzerland,Birsfelden,2004
CHE-105.904.292,Detailhandel/Grosshandel/Vertrieb,Denner,https://www.denner.ch/de/,1000,500000000,2016 Dezember,42,60259,Y,1123,266320,147885,0.44,111827,594,375000,15000000,Switzerland,Zurich,1944
CHE-439.174.765,Herstellung von Getranken,Derkaffee,http://www.derkaffee.ch,9,1000000,2016 Juli,0,60,Y,15459,2137,2137,0.74,2275,23,6150,20000,Switzerland,Wynigen,2012
CHE-465.653.385,Tee/Kaffee/Kakao,Destas,https://www.destascoffee.ch,9,100000,2016 Juli,0,7995,Y,396933,3175,529,,1238,11,225,100000,Switzerland,Opfikon,2012
CHE-364.997.982,Tee/Kaffee/Kakao,Dongeorge,http://www.dongeorge.ch,,,,0,,N,354287,300,300,,584,6,1275,100000,Switzerland,Untervaz,2012
CHE-100.139.986,Herstellung von Getranken,Drei herzen,http://www.dreiherzen.ch,,,,0,658,Y,,,,,,,,100000,Switzerland,Einsiedeln,1991
CHE-105.245.963,Herstellung von Getranken,Esperanza,http://www.esperanza.ch,3,1000000,2016 August,12,,N,10698,23814,3981,0.55,3728,36,34350,27000,Switzerland,Vuadens,1999
,,Fairglobe,,,,,0,,,,,,,,,,,Switzerland,,
CHE-102.755.127,Sonstiger ahrungsmittel-/Lebensmittelhandel,Gebana,http://ch.gebanashop.ch/cafe-rebeldia-gemahlen-inkl-solibeitrag.html,3,10000000,2016 August,,2373,Y,46084,12172,1923,0.24,2105,42,41550,3000000,Switzerland,Zurich,1998
CHE-102.368.492,UCC,Giger,http://www.giger-cafe.ch,40,,,46,,N,58891,300,300,1.19,781,15,1170,,Switzerland,Zollikofen,1904
CHE-358.488.933,Herstellung von Getranken,Gipfels tuermer,https://www.gipfelstuermerkaffee.ch,,,,7,,N,586213,300,300,,856,8,,,Switzerland,Unterlunkhofen,2011
CHE-112.307.813,Herstellung von Getranken,Glattfelder,http://www.glattfelder.ch,9,10000000,2016 Juli,18,,N,,,,,,,,20000,Switzerland,Glattfelden,2005
CHE-107.125.620,Herstellung von Getranken,Graf,https://www.graf-kaffee.ch,,1000000,2016 August,6,220,Y,35353,300,300,2.08,735,27,450,180000,Switzerland,Datwill,1957
CHE-102.698.251,Herstellung/Verarbeitung von Lebensmitteln,Haco,http://www.haco.ch,499,200000000,2016 ovember,42,48,Y,43422,2223,704,0.06,1114,118,33450,20000000,Switzerland,G_mligen,1994
,,Hausbrandt,http://www.hausbrandtcaffe.ch,,,,0,,,525125,300,300,,773,2,825,,Switzerland,Littoral,1892
CHE-105.938.954,Herstellung von Getranken,Hemmi,http://www.hemmi.ch,19,10000000,2016 Juli,2,220,Y,52789,300,300,0.18,698,21,8400,300000,Switzerland,Geroldswil,1931
CHE-112.412.516,Herstellung von Getranken,Henauer,http://www.henauer-kaffee.ch/de/,9,10000000,2016 Juli,18,1075,Y,20634,1159,1159,1.25,1614,44,375,200000,Switzerland,Hori,2005
CHE-107.840.912,Diverse industrielle Herstellung,HGZ,http://www.hgz.ch,99,30000000,2016 Oktober,4,143,Y,130814,5292,464,0.99,1107,65,26400,500000,Switzerland,Dallikon,1980
CHE-107.245.313,Herstellung von Getranken,Hochstrasser,http://www.hochstrasser.ch/unternehmen/unternehmen.html?=,49,20000000,2016 September,27,,N,25424,1323,619,0.45,1322,44,27000,480000,Switzerland,Luzern,1973
,,HR Gastro,http://www.hr-gastro.ch/de/kaffee/unsere-kaffeeroesterei/,,,,0,,,42412,1191,314,0.26,971,40,25350,,Switzerland,,
CHE-101.190.145,Tee/Kaffee/Kakao,Illy,http://www.illycafe.ch,49,10000000,2016 August,6,587479,Y,13398,5292,1873,0.44,2143,40,23400,100000,Switzerland,Thalwil,1939
CHE-105.909.036,Nestle SA,Incarom,http://www.incarom.ch/,,,,3,4287,Y,192619,229,229,0.1,765,6,585,,Switzerland,Vevey,1957
CHE-107.856.327,Delica,Inflagranti,http://www.inflagranticaffe.ch,,,,0,,N,160313,300,300,1.32,698,6,285,,Switzerland,Birsfelden,2004
CHE-293.158.291,JDE,Jacobs,https://www.medailledor.ch,,,,21,,N,142489,300,300,0.51,668,8,1455,,Switzerland,Zug,2015
CHE-293.158.291,Tee/Kaffee/Kakao,JDE,https://www.jacobsdouweegberts.com,,,,5,940534,Y,,,,,,,,25000,Switzerland,Zug,2015
CHE-115.693.671,Bar/Pub,Jolly caffee,http://www.jollycaffe.ch,3,1000000,2016 Juli,12,,N,447218,300,300,,781,6,120,,Switzerland,Mendrisio,2012
CHE-488.927.731,Sonstiger ahrungsmittel-/Lebensmittelhandel,Kaffa,www.kaffa.ch,,,,9,862,Y,552047,300,300,,744,8,,,Switzerland,Kriens,2016
CHE-100.618.198,Herstellung von Getranken,Kaffee Knubel,http://www.kaffee-knubel.ch,,,,2,52,Y,206024,300,300,0.84,720,6,240,100000,Switzerland,Beromanster,1990
